fips,state,county_name,spend,quality_bedweighted,z_spend,z_quality,beds_sum,discharges_sum
33007,NH,Coos,10269.47,,-0.727636171551338,,0.0,0.0
42105,PA,Potter,8772.09,,-1.5170547623227644,,0.0,0.0
39069,OH,Henry,11696.49,,0.02468863404419665,,0.0,0.0
26073,MI,Isabella,10653.98,,-0.5249225368443688,,0.0,143.0
05031,AR,Craighead,13205.74,,0.8203650876643704,,0.0,0.0
33009,NH,Grafton,9130.43,,-1.3281379490776073,,0.0,4999.0
02275,AK,Wrangell,12527.27,,0.46267576946812805,,0.0,0.0
51630,VA,Fredericksburg,11598.5,,-0.026971684451904492,,0.0,6110.0
37025,NC,Cabarrus,11338.2,,-0.16420181920580917,,0.0,4344.0
38045,ND,LaMoure,10802.46,,-0.446643895245215,,,
38069,ND,Pierce,9948.91,,-0.8966353724607186,,0.0,0.0
05053,AR,Grant,11044.52,,-0.31902988672223975,,,
56023,WY,Lincoln,10954.08,,-0.36670984595060413,,0.0,0.0
55119,WI,Taylor,9484.35,,-1.1415513594037614,,0.0,0.0
51065,VA,Fluvanna,10000.52,,-0.8694265854662924,,,
41069,OR,Wheeler,8730.94,,-1.5387490383316893,,,
30097,MT,Sweet Grass,10230.13,,-0.7483762157358123,,0.0,0.0
27117,MN,Pipestone,13610.35,,1.0336754404218718,,0.0,0.0
27133,MN,Rock,12148.08,,0.26276683824518016,,0.0,0.0
27031,MN,Cook,10203.05,,-0.7626527891093648,,0.0,0.0
27147,MN,Steele,10596.05,,-0.5554632272258279,,0.0,170.0
29055,MO,Crawford,11190.06,,-0.24230121283794007,,,
29057,MO,Dade,11345.02,,-0.1606063158672706,,,
17017,IL,Cass,11288.59,,-0.19035620639421222,,,
13115,GA,Floyd,13066.99,,0.7472161011215186,,0.0,4526.0
20057,KS,Ford,9507.8,,-1.1291885216781412,,0.0,125.0
13247,GA,Rockdale,12027.73,,0.1993183299177406,,0.0,1018.0
16063,ID,Lincoln,11244.18,,-0.21376915408695485,,,
31091,NE,Hooker,8968.53,,-1.4134916133751763,,,
48111,TX,Dallam,11464.95,,-0.0973792314990959,,0.0,0.0
42131,PA,Wyoming,10795.01,,-0.45057153452265036,,,
20199,KS,Wallace,12006.7,,0.1882313159574084,,,
20011,KS,Bourbon,11835.73,,0.09809594853952401,,,
48099,TX,Coryell,11152.29,,-0.26221355317468537,,0.0,0.0
17139,IL,Moultrie,12787.18,,0.5997002962598585,,,
20031,KS,Coffey,11939.44,,0.15277185048085182,,0.0,0.0
